city,sector,rank_zscore,clean_city_name,country
boston,Professional Service,-0.8432740427115677,Boston,US
chicago,Professional Service,-0.8432740427115677,Chicago,US
dc_baltimore,Professional Service,-0.8432740427115677,DC - Baltimore,US
houston,Professional Service,-0.8432740427115677,Houston,US
la,Professional Service,1.0540925533894598,Los Angeles,US
miami,Professional Service,-0.8432740427115677,Miami,US
nyc,Professional Service,1.0540925533894598,NYC,US
phoenix,Professional Service,1.0540925533894598,Phoenix,US
bay,Public Administration,0.0753644558592292,Bay Area,US
boston,Public Administration,1.092784609958828,Boston,US
chicago,Public Administration,0.0753644558592292,Chicago,US
dc_baltimore,Public Administration,-2.298615903706501,DC - Baltimore,US
houston,Public Administration,0.0753644558592292,Houston,US
la,Public Administration,-0.2637755955073036,Los Angeles,US
miami,Public Administration,-0.2637755955073036,Miami,US
nyc,Public Administration,0.4145045072257621,NYC,US
phoenix,Public Administration,1.092784609958828,Phoenix,US
bay,Real Estate,0.4714045207910318,Bay Area,US
boston,Real Estate,0.4714045207910318,Boston,US
chicago,Real Estate,-0.9428090415820632,Chicago,US
dc_baltimore,Real Estate,0.4714045207910318,DC - Baltimore,US
houston,Real Estate,1.1785113019775793,Houston,US
la,Real Estate,-0.9428090415820632,Los Angeles,US
miami,Real Estate,-0.2357022603955156,Miami,US
nyc,Real Estate,1.1785113019775793,NYC,US
phoenix,Real Estate,-1.6499158227686106,Phoenix,US
bay,Retail,-0.4216370213557835,Bay Area,US
boston,Retail,0.8432740427115681,Boston,US
chicago,Retail,-0.4216370213557835,Chicago,US
dc_baltimore,Retail,0.8432740427115681,DC - Baltimore,US
houston,Retail,1.475729574745244,Houston,US
la,Retail,-1.0540925533894594,Los Angeles,US
miami,Retail,-1.0540925533894594,Miami,US
nyc,Retail,-1.0540925533894594,NYC,US
phoenix,Retail,0.8432740427115681,Phoenix,US
bay,Transportation,-0.47140452079103,Bay Area,US
boston,Transportation,0.9428090415820652,Boston,US
chicago,Transportation,-0.47140452079103,Chicago,US
dc_baltimore,Transportation,0.9428090415820652,DC - Baltimore,US
houston,Transportation,0.9428090415820652,Houston,US
la,Transportation,-0.47140452079103,Los Angeles,US
miami,Transportation,-1.8856180831641247,Miami,US
nyc,Transportation,0.9428090415820652,NYC,US
phoenix,Transportation,-0.47140452079103,Phoenix,US
bay,Wholesale,-0.1421338109037405,Bay Area,US
boston,Wholesale,0.7106690545187012,Boston,US
chicago,Wholesale,-0.5685352436149614,Chicago,US
dc_baltimore,Wholesale,1.5634719199411429,DC - Baltimore,US
houston,Wholesale,0.2842676218074803,Houston,US
la,Wholesale,1.137070487229922,Los Angeles,US
miami,Wholesale,-0.5685352436149614,Miami,US
nyc,Wholesale,-1.421338109037403,NYC,US
phoenix,Wholesale,-0.9949366763261822,Phoenix,US
guadalajara,Agriculture,0.556151691066819,Guadalajara,MX
mexico_city,Agriculture,0.2527962232121904,Mexico City,MX
monterrey,Agriculture,0.2527962232121904,Monterrey,MX
puebla,Agriculture,0.556151691066819,Puebla,MX
tijuana,Agriculture,0.4044739571395047,Tijuana,MX
toluca,Agriculture,-2.022369785697524,Toluca,MX
guadalajara,Art/Culture,-0.2318694478800839,Guadalajara,MX
mexico_city,Art/Culture,0.1159347239400422,Mexico City,MX
monterrey,Art/Culture,0.1159347239400422,Monterrey,MX
puebla,Art/Culture,0.1159347239400422,Puebla,MX
tijuana,Art/Culture,-1.6230861351605887,Tijuana,MX
toluca,Art/Culture,1.507151411220547,Toluca,MX
guadalajara,Business Support,-1.4301938838683883,Guadalajara,MX
mexico_city,Business Support,0.4767312946227961,Mexico City,MX
monterrey,Business Support,-0.4767312946227961,Monterrey,MX
puebla,Business Support,0.4767312946227961,Puebla,MX
tijuana,Business Support,-0.4767312946227961,Tijuana,MX
toluca,Business Support,1.4301938838683883,Toluca,MX
guadalajara,Construction,-0.6705522259822752,Guadalajara,MX
mexico_city,Construction,-0.402331335589365,Mexico City,MX
monterrey,Construction,-0.134110445196455,Monterrey,MX
puebla,Construction,-0.402331335589365,Puebla,MX
tijuana,Construction,-0.402331335589365,Tijuana,MX
toluca,Construction,2.011656677946825,Toluca,MX
guadalajara,Corporate,-0.4737600516269307,Guadalajara,MX
mexico_city,Corporate,-0.3065506216409552,Mexico City,MX
monterrey,Corporate,-0.3065506216409552,Monterrey,MX
puebla,Corporate,-0.4737600516269307,Puebla,MX
tijuana,Corporate,-0.4737600516269307,Tijuana,MX
toluca,Corporate,2.0343813981627026,Toluca,MX
guadalajara,Education,0.6694619270045783,Guadalajara,MX
mexico_city,Education,0.9205101496312952,Mexico City,MX
monterrey,Education,0.4184137043778614,Monterrey,MX
puebla,Education,0.1673654817511444,Puebla,MX
tijuana,Education,-0.3347309635022893,Tijuana,MX
toluca,Education,-1.841020299262591,Toluca,MX
guadalajara,Energy,-0.8181680188713227,Guadalajara,MX
mexico_city,Energy,-0.5844057277652305,Mexico City,MX
monterrey,Energy,-0.5844057277652305,Monterrey,MX
puebla,Energy,-0.5844057277652305,Puebla,MX
tijuana,Energy,1.285692601083507,Tijuana,MX
toluca,Energy,1.285692601083507,Toluca,MX
guadalajara,Financial,0.9128709291752768,Guadalajara,MX
mexico_city,Financial,0.0,Mexico City,MX
monterrey,Financial,-1.8257418583505536,Monterrey,MX
puebla,Financial,0.0,Puebla,MX
tijuana,Financial,0.9128709291752768,Tijuana,MX
toluca,Financial,0.0,Toluca,MX
guadalajara,Health,0.3251968036173026,Guadalajara,MX
mexico_city,Health,1.8861414609803535,Mexico City,MX
monterrey,Health,-0.8455116894049859,Monterrey,MX
puebla,Health,-0.455275525064223,Puebla,MX
tijuana,Health,-0.455275525064223,Tijuana,MX
toluca,Health,-0.455275525064223,Toluca,MX
guadalajara,Hospitality,0.4082482904638637,Guadalajara,MX
mexico_city,Hospitality,0.4082482904638637,Mexico City,MX
