city,naics,mean_eci_zscore,clean_city_name,country
dc_baltimore,Transportation,0.1591286258111404,DC - Baltimore,US
miami,Financial,0.1383122404975438,Miami,US
boston,Transportation,0.1369747169130252,Boston,US
houston,Retail,0.1368099065645712,Houston,US
miami,Information,0.1238809646306915,Miami,US
miami,Real Estate,0.1182530620594335,Miami,US
bay,Agriculture,0.1030552152144609,Bay Area,US
phoenix,Corporate,0.0996290157404081,Phoenix,US
houston,Transportation,0.0982336693053282,Houston,US
phoenix,Professional Service,0.0969148265909014,Phoenix,US
bay,Transportation,0.0864166339080428,Bay Area,US
bay,Construction,0.0366258582492705,Bay Area,US
la,Education,0.0195875956313202,Los Angeles,US
la,Business Support,0.0148173841551947,Los Angeles,US
phoenix,Real Estate,0.0109149140266741,Phoenix,US
phoenix,Financial,0.0007799652117902,Phoenix,US
miami,Hospitality,-0.0120219180931668,Miami,US
miami,Art/Culture,-0.015490614892567,Miami,US
phoenix,Information,-0.02355718385824,Phoenix,US
miami,Education,-0.0352127698967627,Miami,US
la,Public Administration,-0.0579480528170328,Los Angeles,US
la,Hospitality,-0.066702849243258,Los Angeles,US
la,Health,-0.0682317316096506,Los Angeles,US
miami,Public Administration,-0.0785139096338756,Miami,US
phoenix,Art/Culture,-0.0841467503346545,Phoenix,US
miami,Health,-0.087954440534623,Miami,US
phoenix,Health,-0.1341685554648826,Phoenix,US
miami,Business Support,-0.1401831920700521,Miami,US
phoenix,Education,-0.1459634231525329,Phoenix,US
miami,Wholesale,-0.1612070503282678,Miami,US
miami,Retail,-0.1820300773420058,Miami,US
miami,Energy,-0.185116572319728,Miami,US
phoenix,Hospitality,-0.198233658756187,Phoenix,US
phoenix,Business Support,-0.2097727305444212,Phoenix,US
phoenix,Wholesale,-0.2105039515974124,Phoenix,US
la,Construction,-0.2148262672188724,Los Angeles,US
phoenix,Manufacturing,-0.215672879631005,Phoenix,US
miami,Manufacturing,-0.2182409696557596,Miami,US
la,Retail,-0.235502000826383,Los Angeles,US
phoenix,Public Administration,-0.2478155436075859,Phoenix,US
phoenix,Agriculture,-0.2579462931996595,Phoenix,US
miami,Transportation,-0.2580543951918017,Miami,US
phoenix,Energy,-0.2672140449893054,Phoenix,US
la,Agriculture,-0.2725697211155163,Los Angeles,US
miami,Agriculture,-0.2746848131718809,Miami,US
miami,Construction,-0.2887898615436933,Miami,US
la,Energy,-0.2909345624334974,Los Angeles,US
phoenix,Retail,-0.3242722419882798,Phoenix,US
la,Wholesale,-0.3418813234357492,Los Angeles,US
la,Transportation,-0.392051356157575,Los Angeles,US
phoenix,Transportation,-0.3970396000143252,Phoenix,US
phoenix,Construction,-0.3987364861909436,Phoenix,US
la,Manufacturing,-0.4278753138732734,Los Angeles,US
mexico_city,Professional Service,1.5236551044425874,Mexico City,MX
guadalajara,Corporate,1.4972278993223764,Guadalajara,MX
mexico_city,Corporate,1.4597315173929375,Mexico City,MX
mexico_city,Construction,1.425549528848321,Mexico City,MX
mexico_city,Information,1.2695091022498497,Mexico City,MX
mexico_city,Financial,1.2378596879945292,Mexico City,MX
mexico_city,Business Support,1.2149721523542514,Mexico City,MX
puebla,Corporate,1.101577332278733,Puebla,MX
